"ANO","NIVEL","MUNICIPIO","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",291070,349,0,0,36,313,11,39,54,25,184,215,134,18,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291072,655,0,0,134,521,22,88,205,62,144,396,258,56,0,10,10,0,0,1,1,0,0,5,0,4,1,1,0,1,1,3,3,1,1,0,0,0,0
2015,"MU",291075,100,0,0,11,89,3,16,36,7,27,61,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291077,19,0,0,2,17,1,5,4,0,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291080,3783,0,0,585,3198,189,536,712,272,1489,2148,1633,235,0,28,25,3,0,1,8,3,0,14,0,6,1,2,0,3,0,6,6,0,1,0,2,0,1
2015,"MU",291085,86,0,0,5,81,1,8,19,11,42,49,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291090,35,0,0,1,34,0,5,10,4,15,15,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291100,79,0,0,3,76,2,10,19,11,34,48,31,5,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291110,83,0,0,19,64,7,11,19,7,20,56,27,6,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291120,183,0,0,27,156,5,25,40,10,76,103,80,12,0,2,2,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
2015,"MU",291125,20,0,0,1,19,2,5,2,3,7,9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291130,61,0,0,7,54,5,4,10,2,33,41,20,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291140,89,0,0,12,77,2,12,39,9,15,43,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291150,44,0,0,3,41,0,4,4,5,28,22,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291160,146,0,0,28,118,7,25,41,7,38,90,56,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291165,43,0,0,4,39,0,5,19,4,11,18,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291170,465,0,0,66,399,14,94,108,47,136,252,212,27,0,3,3,0,0,1,0,0,0,3,0,3,1,0,0,1,1,2,2,0,1,1,0,0,0
2015,"MU",291180,80,0,0,17,63,3,16,22,3,19,51,29,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291185,85,0,0,9,76,6,19,11,12,28,49,36,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291190,195,0,0,27,168,8,24,62,6,68,114,81,9,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291200,71,0,0,6,65,1,14,19,4,27,40,31,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291210,246,0,0,32,214,9,24,62,22,97,142,104,13,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291220,68,0,0,16,52,1,5,14,1,31,42,26,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291230,108,0,0,13,95,3,9,28,10,45,69,39,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291240,106,0,0,9,97,5,21,35,8,28,58,48,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MU",291250,89,0,0,8,81,7,17,29,5,23,52,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291260,18,0,0,3,15,1,0,7,1,6,6,12,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2015,"MU",291270,142,0,0,22,120,5,15,20,12,68,90,52,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291280,66,0,0,7,59,4,12,16,7,20,41,25,5,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
