"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2931905",55777,52418,26254,26164,14372,27323,10723,7091,13455,5618
2015,"MUNICIPIO","2932002",25087,24294,12218,12076,6245,12486,5563,3025,6165,2886
2015,"MUNICIPIO","2932101",20782,19750,10035,9715,5079,10259,4412,2530,4952,2233
2015,"MUNICIPIO","2932200",20813,20691,10100,10591,5647,10869,4175,2798,5667,2126
2015,"MUNICIPIO","2932309",27051,25004,12488,12516,6930,12980,5094,3341,6583,2592
2015,"MUNICIPIO","2932408",14483,13625,6968,6657,3284,7297,3044,1615,3511,1531
2015,"MUNICIPIO","2932457",19055,17000,8777,8223,4799,9564,2637,2423,4552,1248
2015,"MUNICIPIO","2932507",22105,24110,12557,11553,6996,12553,4561,3398,6111,2044
2015,"MUNICIPIO","2932606",17301,16466,8331,8135,4046,8881,3539,1988,4333,1814
2015,"MUNICIPIO","2932705",21849,19837,9857,9980,5406,10404,4027,2717,5284,1979
2015,"MUNICIPIO","2932804",19593,18173,8936,9237,5696,9296,3181,2891,4664,1682
2015,"MUNICIPIO","2932903",97305,88673,43531,45142,23637,49611,15425,11552,25359,8231
2015,"MUNICIPIO","2933000",27906,24560,12152,12408,5703,14008,4849,2809,7126,2473
2015,"MUNICIPIO","2933059",14729,13786,6984,6802,3620,7087,3079,1742,3471,1589
2015,"MUNICIPIO","2933109",9416,8661,4355,4306,1995,4550,2116,987,2211,1108
2015,"MUNICIPIO","2933158",13470,13073,6622,6451,3582,6751,2740,1771,3304,1376
2015,"MUNICIPIO","2933174",9363,9109,4534,4575,2216,4936,1957,1102,2417,1056
2015,"MUNICIPIO","2933208",42650,37567,18722,18845,9914,20323,7330,4895,10172,3778
2015,"MUNICIPIO","2933257",6696,6800,3564,3236,1836,3382,1582,898,1565,773
2015,"MUNICIPIO","2933307",343230,306866,147879,158987,76768,173821,56277,37639,90555,30793
2015,"MUNICIPIO","2933406",9731,8983,4498,4485,2575,4682,1726,1263,2314,908
2015,"MUNICIPIO","2933455",13008,12485,6496,5989,3563,6523,2399,1728,3085,1176
2015,"MUNICIPIO","2933505",22530,22189,11475,10714,6878,11734,3577,3395,5649,1670
2015,"MUNICIPIO","2933604",48316,45536,22509,23027,14185,23178,8173,7050,11631,4346
