"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",2917607,NA,0.58,NA,NA
2010,"MUNICIPIO",2917706,NA,0.659,NA,NA
2010,"MUNICIPIO",2917805,NA,0.556,NA,NA
2010,"MUNICIPIO",2917904,NA,0.55,NA,NA
2010,"MUNICIPIO",2918001,NA,0.665,NA,NA
2010,"MUNICIPIO",2918100,NA,0.547,NA,NA
2010,"MUNICIPIO",2918209,NA,0.553,NA,NA
2010,"MUNICIPIO",2918308,NA,0.575,NA,NA
2010,"MUNICIPIO",2918357,NA,0.593,NA,NA
2010,"MUNICIPIO",2918407,NA,0.677,NA,NA
2010,"MUNICIPIO",2918456,NA,0.541,NA,NA
2010,"MUNICIPIO",2918506,NA,0.743,NA,NA
2010,"MUNICIPIO",2918555,NA,0.567,NA,NA
2010,"MUNICIPIO",2918605,NA,0.602,NA,NA
2010,"MUNICIPIO",2918704,NA,0.599,NA,NA
2010,"MUNICIPIO",2918753,NA,0.545,NA,NA
2010,"MUNICIPIO",2918803,NA,0.586,NA,NA
2010,"MUNICIPIO",2918902,NA,0.632,NA,NA
2010,"MUNICIPIO",2919009,NA,0.546,NA,NA
2010,"MUNICIPIO",2919058,NA,0.584,NA,NA
2010,"MUNICIPIO",2919108,NA,0.518,NA,NA
2010,"MUNICIPIO",2919157,NA,0.596,NA,NA
2010,"MUNICIPIO",2919207,NA,0.754,NA,NA
2010,"MUNICIPIO",2919306,NA,0.623,NA,NA
2010,"MUNICIPIO",2919405,NA,0.621,NA,NA
2010,"MUNICIPIO",2919504,NA,0.611,NA,NA
2010,"MUNICIPIO",2919553,NA,0.716,NA,NA
2010,"MUNICIPIO",2919603,NA,0.524,NA,NA
2010,"MUNICIPIO",2919702,NA,0.605,NA,NA
2010,"MUNICIPIO",2919801,NA,0.609,NA,NA
2010,"MUNICIPIO",2919900,NA,0.604,NA,NA
2010,"MUNICIPIO",2919926,NA,0.708,NA,NA
2010,"MUNICIPIO",2919959,NA,0.538,NA,NA
2010,"MUNICIPIO",2920007,NA,0.576,NA,NA
2010,"MUNICIPIO",2920106,NA,0.572,NA,NA
