"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPRE_RA","POPRE_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"MUNICIPIO","2904308",15214,14282,7114,7168,3706,7681,2895,1845,3785,1538,NA,0.597,NA,NA,177,0,163,0,34,45,45,28,17,7,1,0,177,20,25,31,26.2,6.99,2,25,54,79,5,5,11,27,2,135,0,73,103,70,107,168,7,1,2,2,21,137,11,26,137,11,38,39,40,38.72,2.96,0,38,7,14,109,91,86,125,51,165,9,1,51,7,57,3,23,1,4,7,1,17,173,1,1,2,0,90,87,11,27,2,135,0,19,145,13,2880,3265,3600,3200.27,643.78,14,128,20,7,166,9.36,1.01,0,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.803,15.214,46.7635402906209,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904407",10698,11077,5798,5279,2739,5883,2455,1322,2758,1199,NA,0.592,NA,NA,49,0,44,0,9,14,18,5,3,0,0,0,49,22,25,29,24.96,5.31,1,1,7,36,0,2,2,3,1,41,0,4,45,22,27,45,4,0,1,0,6,39,2,7,39,2,37.75,39,40,38.4,2.76,0,9,0,8,29,49,0,26,23,47,2,0,7,10,8,5,7,1,1,4,0,5,48,0,0,1,0,25,24,2,3,1,41,0,7,42,0,2750,3050,3285,3007.73,579.37,5,37,2,2,46,8.96,1.11,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.983,NA,17.7664974619289,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904506",11070,10717,5472,5245,2863,4988,2866,1391,2364,1490,NA,0.57,NA,NA,135,0,46,1,29,34,33,25,10,2,1,0,134,20,25,30,25.59,6.74,1,5,15,27,1,6,7,1,0,44,0,36,96,48,87,135,0,0,2,2,6,118,5,10,118,5,40,41,41,39.9,2.85,0,14,6,2,32,54,81,116,19,44,9,1,13,4,9,3,6,4,5,0,1,7,118,15,2,0,0,63,71,38,3,1,89,0,7,116,12,3000,3350,3700,3335,559.68,7,102,21,2,129,9.54,0.87,3,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.033,NA,57.1065989847716,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904605",69255,64602,31747,32855,14896,36236,13470,7340,18334,7181,NA,0.656,NA,NA,982,0,476,11,140,220,269,207,109,25,1,0,971,22,27,31,26.81,6.47,1,33,161,351,24,78,158,23,0,492,0,349,602,445,537,953,29,0,4,14,109,760,36,127,760,36,37,39,40,38.32,2.34,2,168,77,90,573,191,791,259,722,936,30,0,206,124,161,80,185,15,11,29,0,102,835,143,2,2,0,523,459,158,23,0,492,0,99,845,38,2850,3175,3480,3136.05,571.55,74,708,94,9,844,9.69,0.75,6,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.083,4.402,53.5616886658667,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904704",19283,18605,9307,9298,4702,9536,4367,2340,4817,2141,NA,0.613,NA,NA,225,0,223,3,58,56,49,33,17,9,0,0,222,19,24,30,25.1,7.22,4,28,90,85,5,12,13,20,0,188,4,125,97,79,146,221,4,3,4,1,19,185,12,27,185,12,38,39,40,38.35,3.49,8,87,32,19,77,225,0,159,66,217,7,0,28,41,30,58,34,2,4,4,0,22,225,0,0,0,0,131,94,13,20,0,188,4,24,178,23,2838,3250,3540,3166.9,708.72,31,151,30,9,216,8.68,1.18,2,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.829,NA,46.7095702719535,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904753",21549,19600,10202,9398,6209,10385,3006,3084,4824,1490,NA,0.565,NA,NA,290,0,287,4,68,72,70,51,21,4,0,0,286,20,25,30,25,6.42,4,35,106,129,4,9,14,5,1,268,1,34,256,108,182,290,0,0,2,1,27,239,20,30,239,20,38,39,40,38.91,2.44,0,66,42,44,134,210,80,187,103,282,7,0,80,14,90,20,47,1,6,0,0,30,211,77,2,0,0,149,141,14,5,1,269,1,19,253,17,2910,3200,3542,3216.61,510.98,30,216,34,1,287,9.42,0.7,2,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1160862354892,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904803",10166,11420,5992,5428,2997,6238,2185,1428,2934,1066,NA,0.561,NA,NA,97,0,68,1,19,25,20,25,6,1,0,0,96,20,25,31,25.6,6.4,0,11,30,39,3,5,2,3,0,82,0,40,53,36,61,96,0,0,0,2,5,76,8,7,76,8,37.5,39,40,38.7,2.06,0,16,11,6,53,85,12,52,44,88,2,0,20,10,24,9,16,0,2,0,0,6,97,0,0,0,0,42,55,2,3,0,86,0,8,78,11,2935,3250,3610,3282.84,553.98,8,66,17,0,83,9.28,0.57,0,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.142,NA,33.0606680299932,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904852",18978,17327,8549,8778,5403,9051,2873,2659,4497,1622,NA,0.581,NA,NA,241,0,120,6,50,57,53,42,24,9,0,0,235,20,25,31,25.79,7.28,7,24,73,120,3,10,5,47,1,167,0,139,98,105,136,239,2,0,0,2,21,199,16,23,199,16,38,39,40,39.02,2.05,0,53,8,20,147,238,3,135,106,233,6,1,75,11,70,6,47,2,3,2,1,20,235,0,2,4,0,115,126,5,47,1,167,0,22,208,11,2950,3210,3480,3180.76,514.99,17,194,19,0,143,9.38,0.73,4,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.126,623,53.5912830776073,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2904902",34535,32026,15453,16573,8008,18021,5997,3931,9223,3419,NA,0.647,NA,NA,392,0,104,5,75,87,98,83,35,8,1,0,387,21,26,31,26.05,6.67,2,19,101,169,19,27,6,67,1,186,1,193,177,197,195,386,6,0,1,0,28,276,32,29,276,32,38,39,40,39.16,2.11,1,95,28,40,156,201,191,264,127,383,6,3,118,26,109,14,32,3,1,6,3,27,386,4,1,1,0,198,194,6,67,1,186,1,16,343,33,3000,3300,3641.25,3313.52,526.01,14,266,41,5,206,9.6,0.95,3,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.986,14.158,42.5024395532907,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2905008",23545,22236,11137,11099,5093,12024,5119,2491,5911,2697,NA,0.637,NA,NA,342,0,196,3,40,85,102,65,36,10,0,1,338,22,27,31,26.92,6.46,0,12,40,135,5,25,37,5,1,293,0,112,223,154,188,335,4,0,0,4,16,294,13,20,294,13,38,39,40,38.87,1.91,1,62,21,32,208,51,291,189,144,338,0,0,83,51,75,36,56,0,0,4,0,19,324,17,0,1,0,174,168,37,5,1,293,0,15,303,24,3000,3300,3600,3295.92,500.73,13,259,42,4,333,9.28,0.79,2,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.306,NA,57.858230417865,NA,NA,NA,NA,NA,NA,NA,NA
